429	24	3
480	511	4
916	746	3
892	196	4
90	83	5
144	632	4
465	478	4
301	387	3
437	208	5
758	1111	4
292	654	5
254	400	3
782	752	4
406	425	3
851	161	3
663	69	4
303	653	4
320	117	4
291	393	3
767	183	4
16	357	5
406	281	3
213	118	4
560	975	3
325	529	4
327	216	3
383	100	4
833	234	3
695	354	4
454	79	4
332	313	5
543	12	5
698	66	3
749	203	4
15	137	4
317	331	4
228	327	1
158	450	3
455	58	3
887	431	3
721	518	2
287	748	4
307	91	4
514	111	5
425	188	3
313	419	3
748	86	4
177	186	4
313	482	5
884	1009	2
346	1222	4
690	993	3
471	596	1
1	50	5
561	273	5
276	433	4
532	197	5
795	186	3
454	751	4
87	196	5
117	406	3
919	880	3
880	40	2
144	96	5
359	50	5
222	232	4
416	655	5
150	278	2
151	610	5
913	203	4
437	152	4
741	283	4
682	127	5
715	433	2
362	336	2
456	979	3
864	203	5
694	449	4
93	276	2
223	294	4
643	228	4
180	747	4
215	212	2
453	393	3
532	570	4
796	731	3
293	82	4
244	71	4
295	513	4
331	868	4
504	448	5
276	770	4
882	1412	3
860	900	3
504	70	3
409	23	4
880	151	4
630	732	4
345	197	4
691	56	4
178	28	5
530	1300	2
92	575	2
81	186	5
447	293	4
682	246	5
286	89	4
629	187	5
52	22	5
867	276	1
214	246	2
181	319	3
524	39	5
805	1119	3
738	225	3
145	1002	1
403	410	2
660	204	3
314	1029	2
148	116	5
933	636	2
532	364	3
806	227	2
726	257	3
721	1025	3
492	193	4
158	216	3
767	657	4
344	173	5
214	608	4
2	297	4
158	92	4
390	275	5
454	659	2
210	44	3
452	213	4
119	349	3
141	328	4
295	235	4
885	655	3
477	1051	5
320	82	3
97	228	5
397	340	2
311	202	4
176	7	5
413	460	3
557	875	4
200	243	3
692	249	3
249	919	5
854	13	3
214	518	3
342	108	4
56	568	4
808	346	5
864	125	4
435	406	3
588	159	1
682	627	4
883	665	4
489	302	5
451	336	4
790	1044	4
210	679	3
456	208	4
468	1070	5
447	69	4
303	596	4
545	568	3
92	181	4
4	359	5
184	458	3
254	429	4
843	152	2
22	1003	1
417	483	5
319	307	4
92	147	2
188	77	4
606	31	4
262	22	4
514	988	2
917	476	5
387	581	4
303	184	5
648	290	3
641	64	4
645	496	3
897	168	3
222	418	2
749	746	5
870	550	3
916	1005	4
666	135	4
624	246	4
236	596	4
234	195	2
524	604	4
305	317	4
458	753	4
854	537	3
213	568	4
893	323	2
305	7	4
760	1037	5
882	501	5
621	568	5
406	11	4
378	450	3
447	202	3
363	505	3
21	876	2
